meter_id,reading_date,reading_value,unit
SMT-AZR-053,2026-07-21,31919.19,kWh
SMT-AZR-057,2026-07-21,17834.43,kWh
SMT-AZR-059,2026-07-21,26527.24,kWh
SMT-AZR-061,2026-07-21,2485.57,kWh
SMT-AZR-063,2026-07-21,42153.84,kWh
SMT-AZR-065,2026-07-21,42961.26,kWh
SMT-AZR-067,2026-07-21,24512.93,kWh
SMT-AZR-069,2026-07-21,45830.07,kWh
SMT-AZR-071,2026-07-21,43117.57,kWh
SMT-AZR-073,2026-07-21,46276.89,kWh
SMT-AZR-075,2026-07-21,32021.86,kWh
SMT-AZR-077,2026-07-21,29177.45,kWh
SMT-AZR-079,2026-07-21,48971.87,kWh
SMT-AZR-081,2026-07-21,41427.28,kWh
SMT-AZR-083,2026-07-21,39232.84,kWh
SMT-AZR-085,2026-07-21,14047.85,kWh
SMT-AZR-087,2026-07-21,21639.50,kWh
SMT-AZR-089,2026-07-21,31903.88,kWh
