meter_id,reading_date,reading_value,unit
SMT-AZR-483,2026-07-21,44838.80,kWh
SMT-AZR-485,2026-07-21,29104.88,kWh
SMT-AZR-487,2026-07-21,12398.14,kWh
SMT-AZR-489,2026-07-21,16141.53,kWh
SMT-AZR-491,2026-07-21,31297.16,kWh
SMT-AZR-493,2026-07-21,5220.94,kWh
SMT-AZR-495,2026-07-21,33152.93,kWh
SMT-AZR-497,2026-07-21,21884.50,kWh
SMT-AZR-499,2026-07-21,10709.51,kWh
SMT-AZR-501,2026-07-21,49185.38,kWh
SMT-AZR-503,2026-07-21,18908.92,kWh
SMT-AZR-505,2026-07-21,30064.25,kWh
SMT-AZR-507,2026-07-21,21943.79,kWh
SMT-AZR-509,2026-07-21,33091.53,kWh
SMT-AZR-511,2026-07-21,37356.66,kWh
SMT-AZR-513,2026-07-21,35381.76,kWh
SMT-AZR-515,2026-07-21,17630.08,kWh
SMT-AZR-517,2026-07-21,46262.30,kWh
SMT-AZR-519,2026-07-21,6543.41,kWh
SMT-AZR-521,2026-07-21,3477.43,kWh
SMT-AZR-523,2026-07-21,3413.52,kWh
SMT-AZR-525,2026-07-21,14613.36,kWh
SMT-AZR-527,2026-07-21,43149.98,kWh
