meter_id,reading_date,reading_value,unit
SMT-AZR-377,2026-07-21,32085.38,kWh
SMT-AZR-379,2026-07-21,23658.30,kWh
SMT-AZR-381,2026-07-21,31806.06,kWh
SMT-AZR-383,2026-07-21,27250.57,kWh
SMT-AZR-385,2026-07-21,17415.71,kWh
SMT-AZR-387,2026-07-21,4406.31,kWh
SMT-AZR-389,2026-07-21,41886.08,kWh
SMT-AZR-391,2026-07-21,33481.70,kWh
SMT-AZR-393,2026-07-21,17036.51,kWh
SMT-AZR-395,2026-07-21,37726.68,kWh
SMT-AZR-397,2026-07-21,43358.20,kWh
SMT-AZR-399,2026-07-21,13242.42,kWh
SMT-AZR-401,2026-07-21,36617.40,kWh
SMT-AZR-403,2026-07-21,18389.04,kWh
SMT-AZR-405,2026-07-21,36279.07,kWh
SMT-AZR-407,2026-07-21,15239.88,kWh
SMT-AZR-409,2026-07-21,6069.75,kWh
SMT-AZR-411,2026-07-21,46316.55,kWh
SMT-AZR-413,2026-07-21,21815.13,kWh
SMT-AZR-415,2026-07-21,23249.27,kWh
SMT-AZR-417,2026-07-21,46754.65,kWh
SMT-AZR-419,2026-07-21,26896.87,kWh
SMT-AZR-421,2026-07-21,19824.29,kWh
SMT-AZR-423,2026-07-21,42337.18,kWh
SMT-AZR-425,2026-07-21,5786.47,kWh
