meter_id,reading_date,reading_value,unit
SMT-AZR-529,2026-07-21,7621.35,kWh
SMT-AZR-531,2026-07-21,10234.03,kWh
SMT-AZR-533,2026-07-21,8366.04,kWh
SMT-AZR-535,2026-07-21,24995.66,kWh
SMT-AZR-537,2026-07-21,26339.89,kWh
SMT-AZR-539,2026-07-21,45151.46,kWh
SMT-AZR-541,2026-07-21,25707.68,kWh
SMT-AZR-543,2026-07-21,18098.57,kWh
SMT-AZR-545,2026-07-21,40843.96,kWh
SMT-AZR-547,2026-07-21,30639.67,kWh
SMT-AZR-549,2026-07-21,19333.69,kWh
SMT-AZR-551,2026-07-21,2049.93,kWh
SMT-AZR-553,2026-07-21,44743.96,kWh
SMT-AZR-555,2026-07-21,24346.71,kWh
SMT-AZR-557,2026-07-21,11091.85,kWh
SMT-AZR-559,2026-07-21,19096.78,kWh
SMT-AZR-561,2026-07-21,20831.99,kWh
SMT-AZR-563,2026-07-21,10325.51,kWh
SMT-AZR-565,2026-07-21,34186.78,kWh
SMT-AZR-567,2026-07-21,17554.70,kWh
SMT-AZR-569,2026-07-21,41192.10,kWh
SMT-AZR-571,2026-07-21,27568.00,kWh
SMT-AZR-573,2026-07-21,25896.03,kWh
