meter_id,reading_date,reading_value,unit
SMT-AZR-193,2026-07-21,5048.74,kWh
SMT-AZR-195,2026-07-21,23252.69,kWh
SMT-AZR-197,2026-07-21,4712.75,kWh
SMT-AZR-199,2026-07-21,46186.31,kWh
SMT-AZR-201,2026-07-21,8364.79,kWh
SMT-AZR-203,2026-07-21,25429.43,kWh
SMT-AZR-205,2026-07-21,34366.91,kWh
SMT-AZR-207,2026-07-21,19275.84,kWh
SMT-AZR-209,2026-07-21,47739.78,kWh
SMT-AZR-211,2026-07-21,34537.82,kWh
SMT-AZR-213,2026-07-21,34259.61,kWh
SMT-AZR-215,2026-07-21,33533.02,kWh
SMT-AZR-217,2026-07-21,47045.35,kWh
SMT-AZR-219,2026-07-21,38741.35,kWh
SMT-AZR-221,2026-07-21,24197.71,kWh
SMT-AZR-223,2026-07-21,16816.78,kWh
