meter_id,reading_date,reading_value,unit
SMT-AZR-091,2026-07-21,34739.95,kWh
SMT-AZR-093,2026-07-21,31704.17,kWh
SMT-AZR-095,2026-07-21,31102.51,kWh
SMT-AZR-097,2026-07-21,42921.98,kWh
SMT-AZR-099,2026-07-21,16808.80,kWh
SMT-AZR-101,2026-07-21,33289.65,kWh
SMT-AZR-103,2026-07-21,21088.70,kWh
SMT-AZR-105,2026-07-21,45395.81,kWh
SMT-AZR-107,2026-07-21,48429.29,kWh
SMT-AZR-109,2026-07-21,33832.92,kWh
SMT-AZR-111,2026-07-21,22663.08,kWh
SMT-AZR-113,2026-07-21,21793.04,kWh
SMT-AZR-115,2026-07-21,1394.58,kWh
SMT-AZR-117,2026-07-21,31922.79,kWh
SMT-AZR-119,2026-07-21,19516.22,kWh
SMT-AZR-121,2026-07-21,48781.04,kWh
SMT-AZR-123,2026-07-21,24526.02,kWh
SMT-AZR-125,2026-07-21,40095.67,kWh
SMT-AZR-127,2026-07-21,46773.28,kWh
SMT-AZR-129,2026-07-21,44290.18,kWh
SMT-AZR-131,2026-07-21,4648.45,kWh
SMT-AZR-133,2026-07-21,39894.82,kWh
SMT-AZR-135,2026-07-21,29710.79,kWh
SMT-AZR-137,2026-07-21,30103.95,kWh
SMT-AZR-139,2026-07-21,44468.60,kWh
SMT-AZR-141,2026-07-21,9259.87,kWh
SMT-AZR-143,2026-07-21,28414.89,kWh
SMT-AZR-145,2026-07-21,36434.77,kWh
SMT-AZR-147,2026-07-21,44968.23,kWh
SMT-AZR-149,2026-07-21,15268.01,kWh
SMT-AZR-151,2026-07-21,19374.14,kWh
SMT-AZR-153,2026-07-21,41058.44,kWh
SMT-AZR-155,2026-07-21,47670.15,kWh
SMT-AZR-157,2026-07-21,35032.19,kWh
SMT-AZR-159,2026-07-21,9894.13,kWh
