meter_id,reading_date,reading_value,unit
SMT-AZR-287,2026-07-21,4789.85,kWh
SMT-AZR-289,2026-07-21,11376.21,kWh
SMT-AZR-291,2026-07-21,31339.65,kWh
SMT-AZR-293,2026-07-21,4551.34,kWh
SMT-AZR-295,2026-07-21,3277.61,kWh
SMT-AZR-297,2026-07-21,33094.03,kWh
SMT-AZR-299,2026-07-21,26377.70,kWh
SMT-AZR-301,2026-07-21,47681.23,kWh
SMT-AZR-303,2026-07-21,44502.79,kWh
SMT-AZR-305,2026-07-21,24419.92,kWh
SMT-AZR-307,2026-07-21,18758.94,kWh
SMT-AZR-309,2026-07-21,30558.97,kWh
SMT-AZR-311,2026-07-21,13972.23,kWh
SMT-AZR-313,2026-07-21,2751.62,kWh
SMT-AZR-315,2026-07-21,12253.90,kWh
SMT-AZR-317,2026-07-21,48398.09,kWh
SMT-AZR-319,2026-07-21,12329.14,kWh
SMT-AZR-321,2026-07-21,27406.41,kWh
SMT-AZR-323,2026-07-21,2106.27,kWh
SMT-AZR-325,2026-07-21,17179.18,kWh
SMT-AZR-327,2026-07-21,30600.04,kWh
SMT-AZR-329,2026-07-21,46012.86,kWh
SMT-AZR-331,2026-07-21,42791.84,kWh
SMT-AZR-333,2026-07-21,38685.86,kWh
SMT-AZR-335,2026-07-21,42299.22,kWh
