meter_id,reading_date,reading_value,unit
SMT-AZR-225,2026-07-21,15740.09,kWh
SMT-AZR-227,2026-07-21,45618.32,kWh
SMT-AZR-229,2026-07-21,10673.69,kWh
SMT-AZR-231,2026-07-21,18392.54,kWh
SMT-AZR-233,2026-07-21,22996.98,kWh
SMT-AZR-235,2026-07-21,43200.42,kWh
SMT-AZR-237,2026-07-21,46311.10,kWh
SMT-AZR-239,2026-07-21,10961.19,kWh
SMT-AZR-241,2026-07-21,4062.06,kWh
SMT-AZR-243,2026-07-21,44841.42,kWh
SMT-AZR-245,2026-07-21,8638.53,kWh
SMT-AZR-247,2026-07-21,41314.42,kWh
SMT-AZR-249,2026-07-21,18782.28,kWh
SMT-AZR-251,2026-07-21,8695.40,kWh
SMT-AZR-253,2026-07-21,31002.77,kWh
SMT-AZR-255,2026-07-21,33132.74,kWh
SMT-AZR-257,2026-07-21,4313.66,kWh
SMT-AZR-259,2026-07-21,31902.86,kWh
SMT-AZR-261,2026-07-21,47082.95,kWh
SMT-AZR-263,2026-07-21,23851.39,kWh
SMT-AZR-265,2026-07-21,15004.55,kWh
SMT-AZR-267,2026-07-21,39661.83,kWh
SMT-AZR-269,2026-07-21,14132.88,kWh
SMT-AZR-271,2026-07-21,23874.91,kWh
SMT-AZR-273,2026-07-21,43762.34,kWh
SMT-AZR-275,2026-07-21,41645.57,kWh
SMT-AZR-277,2026-07-21,25020.75,kWh
SMT-AZR-279,2026-07-21,14235.13,kWh
SMT-AZR-281,2026-07-21,5633.68,kWh
SMT-AZR-283,2026-07-21,34813.26,kWh
SMT-AZR-285,2026-07-21,37572.15,kWh
