meter_id,reading_date,reading_value,unit
SMT-AZR-427,2026-07-21,17725.98,kWh
SMT-AZR-429,2026-07-21,13725.28,kWh
SMT-AZR-431,2026-07-21,25181.85,kWh
SMT-AZR-433,2026-07-21,41128.43,kWh
SMT-AZR-435,2026-07-21,30967.85,kWh
SMT-AZR-437,2026-07-21,6344.07,kWh
SMT-AZR-439,2026-07-21,22756.94,kWh
SMT-AZR-441,2026-07-21,22796.72,kWh
SMT-AZR-443,2026-07-21,13869.92,kWh
SMT-AZR-445,2026-07-21,42483.21,kWh
SMT-AZR-447,2026-07-21,47550.96,kWh
SMT-AZR-449,2026-07-21,22712.10,kWh
SMT-AZR-451,2026-07-21,42275.89,kWh
SMT-AZR-453,2026-07-21,28709.28,kWh
SMT-AZR-455,2026-07-21,7660.90,kWh
SMT-AZR-457,2026-07-21,48725.65,kWh
SMT-AZR-459,2026-07-21,24428.72,kWh
SMT-AZR-461,2026-07-21,45044.97,kWh
SMT-AZR-463,2026-07-21,25529.15,kWh
SMT-AZR-465,2026-07-21,26250.41,kWh
SMT-AZR-467,2026-07-21,5923.55,kWh
SMT-AZR-469,2026-07-21,7504.92,kWh
SMT-AZR-471,2026-07-21,31798.16,kWh
SMT-AZR-473,2026-07-21,36675.65,kWh
SMT-AZR-475,2026-07-21,10566.67,kWh
SMT-AZR-477,2026-07-21,24750.05,kWh
SMT-AZR-479,2026-07-21,16546.87,kWh
SMT-AZR-481,2026-07-21,31240.68,kWh
