meter_id,reading_date,reading_value,unit
SMT-AZR-003,2026-07-21,16559.37,kWh
SMT-AZR-005,2026-07-21,44219.75,kWh
SMT-AZR-007,2026-07-21,10918.99,kWh
SMT-AZR-009,2026-07-21,16225.42,kWh
SMT-AZR-011,2026-07-21,23144.88,kWh
SMT-AZR-013,2026-07-21,31343.31,kWh
SMT-AZR-015,2026-07-21,25600.31,kWh
SMT-AZR-017,2026-07-21,15893.83,kWh
SMT-AZR-019,2026-07-21,7936.50,kWh
SMT-AZR-021,2026-07-21,43068.92,kWh
SMT-AZR-023,2026-07-21,15284.29,kWh
SMT-AZR-025,2026-07-21,16489.10,kWh
SMT-AZR-027,2026-07-21,35750.25,kWh
SMT-AZR-029,2026-07-21,24944.28,kWh
SMT-AZR-031,2026-07-21,24641.49,kWh
SMT-AZR-033,2026-07-21,49440.51,kWh
SMT-AZR-035,2026-07-21,47285.19,kWh
SMT-AZR-037,2026-07-21,37249.65,kWh
SMT-AZR-039,2026-07-21,8496.49,kWh
SMT-AZR-041,2026-07-21,27192.22,kWh
SMT-AZR-043,2026-07-21,38488.53,kWh
SMT-AZR-045,2026-07-21,45421.34,kWh
SMT-AZR-047,2026-07-21,48337.64,kWh
SMT-AZR-049,2026-07-21,33463.79,kWh
